Requirement_ID,Requirement,Sub_Feature_ID,Sub_Feature,Test_Case_ID,Test_Case_Name,Feature_Description,Verification_Goal,Stimuli,Test_Type,Coverage_Method,Covergroup_Binding,Assertion_Binding,Sequence_Binding,Criteria_Pass_Fail,Priority,RTL_Reference,Spec_Reference,Status
F1.1.1,PLRU替换策略16-entry全相联,F1.1,L1ITLB_PLRU,ITLB_HIT_001,IFU basic 4K hit,L1 ITLB 16 entry PLRU replacement with hit/miss arbiter,Verify PLRU pointer updates correctly on entry allocation,ifu_base_seq 4K page table with repeated VA,Directed,Function Coverage,cg_ifu_rsp,sva_plru_valid,ifu_base_seq,Hit PA correct no pgflt,P0,mmu_l1itlb.sv:80-120 ct_mmu_iplru.v,Sv39§4.4,Active
F1.1.2,PLRU替换序列覆盖,F1.1,L1ITLB_PLRU,ITLB_PLRU_001,IFU PLRU directed,L1 ITLB 16-way replace policy,Verify replacement follows pseudo-LRU tree rules,ifu_random_vaddr_seq 16+ distinct VPN,Directed,Function Coverage,cg_itlb,sva_plru_valid,ifu_random_vaddr_seq,16-way allocation then replace,P0,mmu_l1itlb.sv:150-200 ct_mmu_iplru.v:1-100,Sv39§4.4,Active
F1.1.3,PLRU替换随机压力,F1.1,L1ITLB_PLRU,ITLB_PLRU_002,IFU PLRU random,L1 ITLB PLRU replacement stress,Verify PLRU invariants under random VA sequence,ifu_random_vaddr_seq × 100 seed,Constrained-Random,Function Coverage,cg_itlb,sva_plru_valid,ifu_random_vaddr_seq,Replace pattern matches PLRU model,P1,mmu_l1itlb.sv ct_mmu_iplru.v,Sv39§4.4,Active
F1.2.1,权限位缓存X检查,F1.2,ITLB_PERM,ITLB_PERM_001,IFU exec perm X=0,L1 ITLB entry X-bit permission check,Verify page fault on X=0 with fetch access,VA→PTE with X=0 constructed,Directed,Function Coverage,cg_ifu_rsp translation_sb,sva_perm_check,ifu_pagefault_trigger_seq,Return pgflt=1 deny=0,P0,mmu_l1itlb.sv:180-210 ct_mmu_iutlb_entry.v:50-80,Sv39§4.4.1,Active
F1.2.2,权限位组合U/M/SUM,F1.2,ITLB_PERM,ITLB_PERM_002,IFU perm SUM+MXR,L1 ITLB U-bit perm with SUM/MXR,Verify SUM/MXR combinations affect X-bit,ifu_exec_perm_mix_seq cp0_mxr_sum_cross,Directed,Function Coverage,cg_cross_scenario,sva_perm_check,ifu_exec_perm_mix_seq,Cover all (U priv SUM MXR) combinations,P0,mmu_l1itlb.sv:180-210,Sv39§4.4.2 MXR/SUM,Active
F1.2.3,有效位V检查无效页,F1.2,ITLB_PERM,ITLB_PGFLT_001,IFU pagefault V=0,L1 ITLB V-bit validity check,Verify page fault on invalid entry V=0,VA→PTE with V=0,Directed,Function Coverage,cg_ifu_rsp,sva_entry_valid,ifu_pagefault_trigger_seq,Return pgflt=1,P0,ct_mmu_iutlb_entry.v:30-60,Sv39§4.4,Active
F1.3.1,4K页面VA→PA基础,F1.3,ITLB_TRANS_4K,ITLB_HIT_001,IFU sanity 4K,L1 ITLB 4K VA→PA translation,Verify correct PA from VPN27 + 12-bit offset,ifu_base_seq standard 4K page table,Directed,Function Coverage,translation_sb cov_ifu_rsp,sva_translate_match,ifu_base_seq,Hit PA[27:0] + offset[11:0] correct,P0,mmu_l1itlb.sv:80-120,Sv39§4.3,Active
F1.3.2,4K页面顺序取指,F1.3,ITLB_TRANS_4K,ITLB_HIT_002,IFU sequential fetch 4K,L1 ITLB sequential fetch 4K pages,Verify offset increment across page hits,ifu_sequential_fetch_seq page boundaries,Directed,Function Coverage,translation_sb cov_ifu_rsp,sva_translate_match,ifu_sequential_fetch_seq,PA offset matches VA offset in page,P0,mmu_l1itlb.sv:80-120,Sv39§4.3,Active
F1.4.1,2MB巨页VA→PA,F1.4,ITLB_HUGE_2M,ITLB_HUGE_001,IFU huge 2MB,L1 ITLB 2MB huge page VA→PA,Verify PPN[26:10]=0 and offset<21bit preserved,VA to 2MB page PTE refill,Directed,Function Coverage,translation_sb cg_huge_page,sva_giant_ppn,ifu_huge_page_fetch_seq,Offset[20:0] preserved PA correct,P1,mmu_l1itlb.sv ct_mmu_iutlb_fst_entry.v:1-80,Sv39§4.4.1 huge,Active
F1.4.2,2MB巨页PLRU替换,F1.4,ITLB_HUGE_2M,ITLB_HUGE_002,IFU huge 2MB PLRU,L1 ITLB 2MB huge page PLRU replacement,Verify PLRU operates on huge page entries,Multiple 2MB pages fill 16 entries,Directed,Function Coverage,cg_huge_page,sva_plru_valid,ifu_huge_page_fetch_seq,16-way allocation then replace huge,P1,ct_mmu_iutlb_fst_entry.v ct_mmu_iplru.v,Sv39§4.4.1,Active
F1.5.1,1GB巨页VA→PA,F1.5,ITLB_HUGE_1G,ITLB_HUGE_003,IFU huge 1GB,L1 ITLB 1GB huge page VA→PA,Verify PPN[26:0]=0 and offset<30bit preserved,VA to 1GB page PTE refill,Directed,Function Coverage,translation_sb cg_huge_page,sva_giant_ppn,ifu_huge_page_fetch_seq,Offset[29:0] preserved PA correct,P1,mmu_l1itlb.sv ct_mmu_iutlb_fst_entry.v:1-80,Sv39§4.4.1 huge,Active
F1.6.1,全局页G=1跨ASID保留,F1.6,ITLB_GLOBAL,ITLB_ASID_001,IFU global page ASID,L1 ITLB global page G-bit across ASID,Verify G=1 entry remains valid on ASID change,ifu_base_seq + cp0_satp_sel_toggle with G=1 PTE,Directed,Function Coverage,coherency_sb cg_csr,sva_global_page,cp0_satp_sel_toggle_seq,Entry hit after ASID switch SATP change,P1,mmu_l1itlb.sv:200-220,Sv39§4.4 global bit,Active
F1.6.2,非全局页G=0跨ASID失效,F1.6,ITLB_GLOBAL,ITLB_ASID_002,IFU non-global ASID,L1 ITLB non-global page ASID invalidation,Verify G=0 entry invalid on ASID change,ifu_base_seq + cp0_satp_sel_toggle with G=0 PTE,Directed,Function Coverage,coherency_sb cg_csr,sva_global_page,cp0_satp_sel_toggle_seq,Entry miss after ASID switch no hit,P1,mmu_l1itlb.sv:200-220,Sv39§4.4 global bit,Active
F1.7.1,L2 TLB Miss refill,F1.7,ITLB_REFILL,ITLB_REFILL_001,IFU L2 miss refill,L1 ITLB refill from L2 TLB miss,Verify refill path populates L1 ITLB entry,ifu_random_vaddr_seq L2TLB no hit,Directed,Function Coverage,translation_sb cg_ifu_rsp,sva_l2tlb_interface,ifu_random_vaddr_seq,Refill then hit returns correct PA,P0,mmu_l1itlb.sv:120-160,Sv39 walk,Active
F1.7.2,L2 TLB refill credit流控,F1.7,ITLB_REFILL,ITLB_REFILL_002,IFU concurrent refill credit,L1 ITLB refill credit throttling,Verify credit return blocks refill when exhausted,mmu_concurrent_3pipe_vseq × 50 seed,Constrained-Random,Function Coverage,sva_l2tlb_interface cg_ifu_rsp,sva_credit_conserv,mmu_concurrent_3pipe_vseq,Refill rate respects credit limit,P0,mmu_l1itlb.sv:120-160,Sv39 walk,Active
